Taxa	SY	DF	DM	BM
302	CDBN_312_UI239	733.988798094539	-5.61925371776265	-8.85510519713792	NA
303	CDBN_313_UI537	-54.6527019109577	-8.15432879970661	-8.95943197802921	-1563.32460626777
304	CDBN_314_UI59	582.086914686323	-9.0297889932799	-10.6117204832864	-1222.94098730252
305	CDBN_315_UI906	255.97299916759	-10.8078250112073	-13.9108711697986	-840.709690752445
306	CDBN_316_UI911	111.084056202974	0.131733068978312	-0.775715562166914	NA
307	CDBN_317_US1140	51.7028907370924	-7.18614263783578	-4.96776064690601	-1267.993575182
308	CDBN_318_Weihing	738.818801339265	-8.03016682735739	-12.1608205275611	-1102.49161562395
309	CDBN_319_Yolano	311.465999296985	-10.5356811428421	-12.5904546050261	-412.628170152439
310	CDBN_320_115M	741.288195099051	-7.61788395947216	-7.28903112271165	-470.830345449545
311	CDBN_321_Black_Jack	440.584856342369	-4.35593555306622	-5.48623441831907	NA
312	CDBN_322_Harblack	379.28713371941	-2.45568756692208	-4.51636524598077	-1382.5584572998
313	CDBN_323_Harris	373.85262658071	-10.6399278170558	-11.9287957338386	-778.775559696337
314	CDBN_324_NW63	-7.93233733167476	-10.4573126162444	-14.1803071922121	-1080.91652479701
315	CDBN_332_COSD_7	424.043128283578	-8.12337353448749	-5.55074544745482	NA
316	CDBN_339_Dynasty	434.538514059108	-10.478389809729	-15.6793853966003	NA
317	CDBN_342_PT9_5_6	699.446845351302	-8.04421652535626	-10.7231612819692	NA
318	CDBN_343_USPT11_13	263.734493262457	-8.78729648253066	-7.19480560846343	-955.887466510475
319	CDBN_345_COSD_35	604.415824636852	-10.9206750965498	-11.4877147698435	NA
320	CDBN_349_Zenith	173.703870833097	-8.89025628247858	-10.0875497693424	NA
321	CDBN_351_Alpena	-3.08422495044504	-11.7768683831235	-8.8264983907576	NA
322	CDBN_353_USPT_7_8	23.5324808442899	-9.96216913180758	-11.0594320513342	-1450.40827674509
323	rcept)	1964.60646304717	55.7992163968601	105.388220713282	6188.73697595478
