Taxa	GHmode	Det_scr	Earliest_Year_CDBN	BM	BR	CB	CM	CT	DF	DM	EV	GH	HB	HI	LG	PH	RR	RU	SA	SF	SW	SY	WM	ZN	SY_rmout	PH_rmout	BR_log	CM_log	EV_log	ZN_log	RR_log	WM_log	SW_log1	SW_log2	SW_log3
CDBN_252_Condor	2	2	2004	257.857612749381	NA	NA	NA	NA	3.35618590961129	1.37040313711541	0.345587577959483	-0.0987383665313085	NA	-0.946998635251497	-0.39542295777312	3.32296483064862	NA	NA	0.0675938977729213	-1.34846711282987	-128.062949580306	55.3556795076478	NA	NA	55.3556795076478	3.32296483064862	NA	NA	1	NA	NA	NA	1	0	0
CDBN_304_Matterhorn	2	2	1998	68.3710542254145	0.271851049424625	0.0727180245992637	-0.0356808918025463	0.0117376559189487	0.223310270519972	-2.92206523123076	-0.0771742115251018	-0.0520155030454014	NA	3.88362466944565	-0.488590449820139	3.17772283077323	-0.488828782406725	-1.06571807590398	0.0814811361337642	-2.57805598085791	14.9350806797297	471.681034750536	0.484553111323331	-1.56680490524623	471.681034750536	3.17772283077323	1	0	0	0	0	1	0	1	0
CDBN_204_OAC_Rex	2	2	2004	564.309133234003	NA	NA	NA	NA	0.984668848452218	4.22726920352613	0.433295774723304	-0.0547401805571363	NA	-3.56310781679815	-0.19144061159599	3.23850579924365	NA	NA	0.00378217929047742	2.80205907017261	-144.900818956786	-261.531531681072	NA	NA	-261.531531681072	3.23850579924365	NA	NA	1	NA	NA	NA	1	0	0
CDBN_212_Seabiskit	2	2	2005	691.810657617726	NA	NA	NA	NA	1.16415863990895	1.69479747549477	0.502490006047269	0.127523852540452	NA	-1.55575409209763	0.243103325176549	1.59065873559799	NA	NA	0.00841666315360213	1.6287880541179	-150.403008051481	264.787240436817	NA	NA	264.787240436817	1.59065873559799	NA	NA	1	NA	NA	NA	1	0	0
CDBN_213_Sedona	2	2	2005	142.987051567012	NA	NA	NA	NA	0.935912586421083	-1.87973638465262	-0.29757955303064	0.166064118988383	NA	0.575276313735194	-0.140575874838879	4.69296156590096	NA	NA	0.123599780848264	-3.94913925408123	29.2828824410023	-64.5959896617638	NA	NA	-64.5959896617638	4.69296156590096	NA	NA	0	NA	NA	NA	0	1	0
CDBN_225_USRM_20	3	2	2004	477.915516824422	NA	NA	NA	NA	1.32812904480836	-1.39417277812496	-0.0471822684846468	0.49578888367162	NA	-0.00820627089759931	0.432957382464468	-1.97964229092207	NA	NA	-0.0952280060336669	-2.17311295756111	67.3583396168814	305.786209661172	NA	NA	305.786209661172	-1.97964229092207	NA	NA	0	NA	NA	NA	0	1	0
CDBN_092_1132_V96	1	1	2004	-740.290831913362	NA	NA	NA	NA	-1.40580420400362	1.64640459396952	-0.0146428924948933	-0.988204340151835	NA	-2.8964244305352	-0.649050725097092	-3.15239517448971	NA	NA	0.010441624749363	2.0478066974289	239.192919761059	-634.908756276	NA	NA	-634.908756276	-3.15239517448971	NA	NA	0	NA	NA	NA	0	0	1
CDBN_181_CO_11113	2	2	2005	71.6609254489045	NA	NA	NA	NA	3.02464874936436	-0.949967517722909	0.33004096030409	-0.155104123689505	NA	-1.75639652191094	-0.614807622584685	2.83206672786706	NA	NA	0.115055467634581	-2.538108575646	-122.753288307825	-38.8423180823147	NA	NA	-38.8423180823147	2.83206672786706	NA	NA	1	NA	NA	NA	1	0	0
CDBN_183_CO_27864	2	2	2005	826.68146553275	NA	NA	NA	NA	2.73835996458609	1.59368111284689	0.407482268614699	-0.0851135174834774	NA	-2.68652421105871	-0.5577476688598	4.69230897894559	NA	NA	-0.00693605055995124	-0.293142121550156	-122.707634953324	223.499417272507	NA	NA	223.499417272507	4.69230897894559	NA	NA	1	NA	NA	NA	1	0	0
CDBN_019_CPC_00153	1	1	2003	-426.804064433794	-0.120986211824335	NA	-0.00302171385937647	0.20083172898434	0.105123116550465	5.66037256153691	0.0454644463822127	-0.869235631158069	NA	-4.79223734584443	-0.386619926222374	-4.54193008980593	NA	NA	0.0784716934146562	5.62865758006973	60.348933985939	-391.323201913233	-1.10179137795622	0.670195719466629	-391.323201913233	-4.54193008980593	0	0	0	0	NA	0	0	1	0
