Taxa	SY	SW	HB	RU	SA	WM	BR	CB	CM	CT	EV	GH	PH	BM	DF	DM	HI	LG	SF
42	CDBN_311_UI114	-483.869369208721	-13.6284526124462	0.463733978734871	0.955545954522435	0.399569394135084	1.57762065346995	-0.401833877711436	1.10705199915609	0.412647407581664	-0.62683192794972	-0.651193136918531	0.102755802835717	2.21762137875217	176.183746370638	-2.20528480000548	-1.86002209946135	5.80093104417424	1.09454763582587	1.80387645413361
43	CDBN_310_T_39	-607.617176461887	-188.783133598415	2.65999999809207	-4.25979784040965	0.516026486400567	NA	NA	1.77670030572602	NA	-0.643913611319851	0.306348337178568	-0.380800048598779	3.2972386242404	614.155147986098	3.47127657353969	4.41430036046427	-1.89170866671166	-0.00427492586873156	2.26087456947462
44	CDBN_309_Starlight	-601.827622693775	7.84951892040551	0.688403408338888	-6.83002056887307	0.171908803353419	1.6410257014845	-0.485726236850961	1.18806358195194	0.641815695267909	-0.232958702969333	NA	-0.380267850020416	2.40241878936086	163.09631803201	-0.318212749858045	0.700307193471141	1.14963639655991	0.548755031630557	2.28841121564567
45	CDBN_308_Sierra	-329.334822466165	-50.4104331911454	NA	-6.88591349462542	1.21732073525923	1.79851701337106	-0.310230787389004	0.912645322995176	0.81503443047121	-0.232958702969333	NA	-0.6942555015402	12.6449837137257	1083.8618002093	3.84752772826596	6.20678532012992	-3.45146133747334	-0.0560257093515929	3.84096719598997
46	CDBN_307_Shiny_Crow	-457.304416212977	-165.866408260954	NA	NA	0.605892677520429	1.29522358060793	0.449075342191372	1.7880571623615	-0.0770902627495119	NA	-0.409932776773742	0.0726917224887744	0.257571026631723	145.513768081756	-0.1634004929048	1.99914311546131	-0.668510494332318	0.872288282496259	3.73088373631009
47	CDBN_306_Olathe	-379.228968142571	-36.5692270748253	1.2523001859892	-0.469076000707706	0.171909064965754	1.99864856515959	-0.459307906921991	1.77688389044505	0.43612519852574	-0.548092396555373	NA	-0.087954590594487	1.52535687302116	563.155183028734	-1.81065481956923	-2.03330045478531	5.69805930019314	0.696669248716977	1.14197913632718
48	CDBN_305_Max	-537.258025970516	12.4611792904186	NA	-0.312033096471639	0.296989701520827	NA	NA	2.19005045860715	NA	NA	-0.300006250407081	-0.0671223550005477	-1.77503096719374	41.1008995107472	-3.64515322637529	-7.42348626217927	3.96011533747854	0.532314047722081	-2.54921362499436
49	CDBN_304_Matterhorn	-165.030311382919	-35.2941919381267	NA	NA	0.667131245523999	1.29522358060789	0.417700223112661	0.926002606571355	-0.113155170518761	-0.64391361131985	0.0293007641913075	-0.723294339616621	4.77864223805208	-6.94582698454063	-0.465522349588132	-2.73779501950186	6.14319521526073	-0.65985111321282	-0.299703748993716
50	CDBN_303_Mackinac	-857.750308728585	-196.17160531477	NA	NA	0.910266631792509	1.29522358060793	0.449075342191371	-1.21194283763849	-0.077090262749511	NA	0.590067223226263	-0.927308277511229	4.16144358875321	486.399406026763	2.03652824397329	2.87014104432295	-1.76632982236716	-1.00930163227216	2.47274452319724
51	CDBN_302_Desert_Rose	-234.429975407869	-54.5323971002902	NA	NA	0.705835971189501	NA	NA	NA	NA	NA	0.0838365569053704	-0.276710772454192	1.67946355231512	237.652104524022	-1.74221851511972	-2.32689419978258	10.1476969511052	-0.0848009542067118	0.439237130420732
52	CDBN_301_Crestwood	-866.53602717043	-187.241659888377	-0.438240577187659	-2.81547454279346	NA	2.42698803244009	-0.345297783818418	0.0657666108879546	0.161459610037606	-0.0538103345585887	NA	-0.732068428949114	1.70926413691111	584.98708010496	1.63112364382057	4.53171019567772	-4.29934682425086	0.289571984570949	4.77196681846235
53	CDBN_300_Chase	-416.665380671498	-34.7657250814541	-0.0337939606378027	-3.42543741109645	0.283167762445951	1.06806563657812	0.449075342191345	-0.460266693501619	-0.0770902627495113	0.192144905852766	NA	0.0905703928111532	-2.0687382962229	-466.678462286297	1.25971833310315	-1.29308667421573	9.23297269364357	1.09670378304017	-0.768768427022803
54	CDBN_299_Buster	11.0879275532729	-1.99644374685372	NA	NA	0.81251391833076	2.29522358060794	0.417700223112671	2.37600260657131	-0.113155170518761	NA	-0.0166149286786309	-0.178841437993878	2.30904064339473	368.047388480289	-1.20307284376687	-3.13229230303329	6.93831184515172	0.286293686059069	-0.579221880006553
55	CDBN_298_BillZ	-166.078317122102	-32.4164560946955	0.290899126445194	-3.65944853613727	0.775713311171105	0.755115978521453	-0.613674895966023	1.55829408608628	0.850779921712037	-0.707230198119566	-0.552521527712823	0.00122865150805631	2.00118507298031	348.541253759785	-1.72208764145858	-2.06663746249543	6.23777414374183	0.887620528808909	0.933773186637751
56	CDBN_297_Beryl	-387.565413798006	-80.4745765599239	0.288553590743195	-0.609085190535898	NA	2.07495880619562	-0.34529778381842	0.730172557812694	0.161459610037605	-0.303810334558591	NA	-0.146013548364624	-1.61481470153739	168.052682768954	-0.87961462294983	-2.61044146851604	4.79252598394323	0.319761457770887	-1.37870704932095
57	CDBN_296_Aztec	-552.481721070628	-3.46352476423162	1.11759700624804	NA	NA	2.10629720996062	NA	NA	NA	0.192144905852783	NA	-0.701296829471106	NA	-282.969284666748	-1.3917289034573	-2.44493451040254	6.7295604935791	-0.129543786352494	0.600058217627133
58	CDBN_295_Avalanche	-552.76169943422	-187.868333831713	NA	-2.65885007916548	0.714993113398287	NA	NA	1.44005045860715	NA	NA	0.803427281264962	-0.0622902783127407	6.95331556849091	-193.374611920944	1.52915202600921	3.19154144687961	-0.794637819005365	-1.01005887603207	2.73221544823522
59	CDBN_294_Arapaho	-433.548860630785	-8.7075887622922	0.482668769308748	-1.60908518863969	NA	1.46178636100509	-0.474124082725533	0.184601409385073	0.200293309814821	-0.30381033455859	0.0334907047646882	-0.457742019570796	5.48597267476836	43.4929030680903	-0.197947248308735	-1.22922217870599	4.35648746446439	0.0906788208361994	1.0518094904199
60	CDBN_293_AC_Compass	-836.362618732949	-170.834664702588	NA	NA	0.758079636799088	0.795223580607923	0.449075342191366	-1.21194283763848	-0.0770902627495111	NA	1.09006722322626	-0.609626269147083	3.56193294376414	-522.345742542901	-1.67206030205187	-0.931647091032348	1.72313453691409	-0.990554969101106	2.18116718311961
61	CDBN_292_White_Kidney	-1387.23073022218	97.7330476723422	NA	NA	NA	-1.74191555140334	NA	NA	NA	NA	-0.966509295235461	NA	NA	NA	-2.72155969128241	3.88139573148782	5.85723448211094	1.12796988923227	6.50597986708172
62	CDBN_291_UI722	-1284.95659676455	109.131402036623	-0.651296226852634	NA	NA	0.42698803243989	-0.345297783818421	0.963865908379376	0.161459610037604	-0.553810334558592	NA	-1.22734518839475	-2.03617012242128	211.026480576893	0.630808829844717	10.3451945861664	-8.1541015942725	-0.50594071633373	10.9731034000227
63	CDBN_290_UI259	-323.659175698153	-46.7961175796657	NA	-2.08607500124746	0.283167762445946	1.89988810505938	-0.550924657808647	1.30264012139134	-0.0770902627495113	NA	NA	0.167409950261433	-0.535295571302605	391.088981470231	-2.55792636363355	-0.689497730142224	1.75974227542823	0.820268782056857	3.51007570492784
64	CDBN_289_Harowood	-704.676862817203	-207.520085785081	0.188553590742998	-4.69160641674987	NA	1.13907963904025	-0.39718656232981	0.767849940102666	0.119274936391739	-0.35822163352699	NA	-0.700790826712263	1.69912671844099	1014.66606136794	4.42784685635195	7.59820500566312	-7.46957075697638	-0.0479320888462177	5.45816614363575
65	CDBN_288_Cygnus	-890.5641212247	-173.355022871899	-0.658763406756951	-1.60908518988973	NA	1.43747038015982	-0.345297783818418	-0.499609049691203	0.161459610037604	0.185788309156941	NA	-1.57973344778128	-5.14425001469622	-41.1249986338454	-0.888591155324045	0.12885677994985	-6.18568044219073	-0.204918601246914	1.9963728908232
66	CDBN_287_Centralia	-779.965203805944	-160.080613475005	-0.571446409256854	-2.19160641673956	NA	1.00978323843231	-0.39718656232981	1.52937610933134	0.119274936391739	-0.285211096345105	NA	-0.499121938505067	0.204771303669208	-111.753546154394	-3.07433143198773	0.655984528783404	0.899172925867349	-0.100021743611493	4.82604406078847
67	CDBN_286_CDRK82	-1190.97571545727	119.573301543017	NA	NA	NA	-0.347110146541453	-0.449075340841202	1.59244362304868	0.0770902627458731	-0.602804043168062	NA	-1.59284075869208	-1.06737297169403	-153.135273032657	-1.0091345019599	1.26014556540463	-7.84081499311876	-1.2582478997013	3.80703213185518
68	CDBN_285_Montcalm	-1312.66284158087	109.489338146196	-0.72647598025867	-5.58880033235048	0.815601817564766	-0.262077406376732	-0.356769789458289	0.939004474392569	0.188906724412895	-0.189747566774275	0.31361374700234	-1.70148580276436	-2.45877178483806	-761.26238310589	-2.32457735708319	2.89363748690997	-8.92891356217182	-0.55515021687368	6.20265838581314
69	CDBN_284_Lassen	-1340.13954891775	115.60043284927	2.80042411690208	-4.38607500099628	0.763037364038866	-1.0422939783571	-0.450275478788621	1.92319099973293	0.114509627174647	-0.0871786371648418	NA	-1.88098919011659	-6.09905396094652	-1584.88563634916	-5.45766969386441	-2.61374531234908	-2.09470969140038	-1.27096686334852	4.23102994773837
70	CDBN_283_Kardinal	-1130.70854260133	88.407334357717	NA	NA	0.16271201351461	-0.13617329061779	NA	NA	NA	-0.707230198119565	NA	-1.93815748765885	8.34753459047017	NA	0.687313455646703	1.28095765827547	NA	NA	3.89247723044254
71	CDBN_282_Kamiakin	-1171.49769263837	104.033862333179	NA	NA	1.16271201351461	0.560955578989487	NA	NA	NA	-0.707230198119565	0.0334907047646342	-1.93815748765883	7.84753459047011	NA	0.0881054220949652	3.71316481534967	-9.14276551788969	-0.872030110767722	3.45519133160705
72	CDBN_281_K59	-967.831030408418	122.241711320568	-0.719575883080293	NA	1.83170810795668	-0.437322872196578	-0.388003537335837	1.54374187807517	0.203537030869932	-0.732437139510931	NA	-1.86817423486111	-6.16483461105731	-101.518017911299	-0.669190298277518	5.59414306745895	-6.05827805453778	0.691508635662504	5.78580449709597
73	CDBN_280_K407	-989.782116918857	108.470157599063	2.80042411691966	-6.88591349462673	1.23191759771434	-0.879120893804532	-0.496865032764183	1.8921329624474	0.121783149047714	-0.651570603965902	-0.966509295235368	-1.64272633179516	1.89949803671069	-228.273491738391	-0.756216817968483	2.0252012743629	-3.94875059918695	-0.598453758555033	1.93603512841219
