Taxa	BM	CB	Det_scr	Earliest_Year_CDBN	GHmode	CT	DF	DM	HB	PH	RU	SA	SF
CDBN_055_IP09_3	52.1753336613055	0.148710577670278	2	2011	2.5	NA	-0.234888854306376	0.0865155625962638	NA	-1.18811144832816	-0.988678674832772	-0.0783702690816351	-0.966737150278321
CDBN_195_Lariat	641.728523211007	-0.204554959358125	2	2008	2	NA	1.53487727064442	2.19036458019252	NA	7.06612248664402	-1.7576652538189	0.0512242697182291	0.287314515838899
CDBN_305_Max	-223.964559838293	0.373368938815357	2	2005	3	NA	-2.97856191843851	-7.81682421618626	NA	-4.28848123912603	3.12692200084574	-0.172273043919077	-4.88071551768814
CDBN_174_ND307	372.632777075717	0.292960712542244	2	2009	3	NA	0.387653193625159	1.23215682001498	NA	3.87142450076937	-1.36842609183992	0.118992136277976	-0.0617771271234894
CDBN_214_Sequoia	-272.479192162399	0.305253421498171	2	2007	2	NA	-0.312940206500948	-2.07739319482111	NA	2.7276512152605	-1.70044297601191	0.0376222795615698	-1.78610328890084
CDBN_141_USPT_8_15	-17.5129432476304	0.200285408326523	2	2011	2.5	NA	-1.28476189632112	-4.42286967356438	NA	-0.121401195104359	-1.93363862630643	-0.0565861297909808	-3.06609267798919
CDBN_142_USPT_8_6	4.12204617860184	0.22434266419352	2	2011	2.5	NA	-1.08692656555384	-1.37913304955191	NA	1.66146378509889	1.69429441539772	-0.0392885230527703	-1.07411978478518
CDBN_255_Eclipse	618.741898112897	-0.32650069058741	2	2004	2	NA	3.56569653087593	1.24210789551537	NA	4.09422597184686	-2.38149040215526	0.0867980392497064	-2.05068884629765
CDBN_270_Jackpot	-415.576752810947	0.366434584332868	2	2007	3	NA	0.0258505346933582	-5.7972478911715	NA	-4.23046524901015	2.10328742903978	-0.121583564246105	-5.49094986135508
CDBN_197_Lightning	618.905580886754	-0.538495192278426	2	2008	2	NA	0.587671724893364	2.58941153980748	NA	5.01781070615531	-1.71413415046969	0.0420491852188189	1.4777940433525
